SN,Date,AEZ1,Year,State,LGA,Location,Village,Lat,Long,Crop,Code,Type,Treatment,B1,B2,G1,G2,Total.Afl,Source
22,,,2017,Kano,,Rogo,,11.5501,7.8232,Maize,ARKN006C,,,NA,NA,NA,NA,0.8,CADP Kano - Kano State
104,,,2016,Kano,Rogo,Rogo,Zoza,11.5501,7.8232,Maize,ARKN006C,,,NA,NA,NA,NA,0.8,AgResults Control Samples
23,,,2017,Kano,,Rogo,,11.5501,7.8232,Maize,ARKN007C,,,NA,NA,NA,NA,0.6,CADP Kano - Kano State
105,,,2016,Kano,Rogo,Rogo,Zoza,11.5501,7.8232,Maize,ARKN007C,,,NA,NA,NA,NA,0.6,AgResults Control Samples
24,,,2017,Kano,,Rogo,,11.5501,7.8232,Maize,ARKN008C,,,NA,NA,NA,NA,1.7,CADP Kano - Kano State
106,,,2016,Kano,Rogo,Rogo,Zoza,11.5501,7.8232,Maize,ARKN008C,,,NA,NA,NA,NA,1.7,AgResults Control Samples
25,,,2017,Kano,,Rogo,,11.5501,7.8232,Maize,ARKN009C,,,NA,NA,NA,NA,1.4,CADP Kano - Kano State
107,,,2016,Kano,Rogo,Rogo,Zoza,11.5501,7.8232,Maize,ARKN009C,,,NA,NA,NA,NA,1.4,AgResults Control Samples
26,,,2017,Kano,,Rogo,,11.5501,7.8232,Maize,ARKN010C,,,NA,NA,NA,NA,0.7,CADP Kano - Kano State
108,,,2016,Kano,Rogo,Rogo,Zoza,11.5501,7.8232,Maize,ARKN010C,,,NA,NA,NA,NA,0.7,AgResults Control Samples
63,,,2017,Kaduna,,Ikara,,11.1788,8.2268,Maize,ARPV0001CM,,,NA,NA,NA,NA,1.3,Palm Valley Nigeria - Kaduna State
18,,,2016,Kaduna,Ikara,Ikara,Ungwa Baure,11.1788,8.2268,Maize,ARPV0001CM,,,NA,NA,NA,NA,1.3,AgResults Control Samples
64,,,2017,Kaduna,,Ikara,,11.1788,8.2268,Maize,ARPV0002CM,,,NA,NA,NA,NA,1.6,Palm Valley Nigeria - Kaduna State
19,,,2016,Kaduna,Ikara,Ikara,Ungwa Baure,11.1788,8.2268,Maize,ARPV0002CM,,,NA,NA,NA,NA,1.6,AgResults Control Samples
65,,,2017,Kaduna,,Ikara,,11.1788,8.2268,Maize,ARPV0003CM,,,NA,NA,NA,NA,1.2,Palm Valley Nigeria - Kaduna State
20,,,2016,Kaduna,Ikara,Ikara,Ungwa Baure,11.1788,8.2268,Maize,ARPV0003CM,,,NA,NA,NA,NA,1.2,AgResults Control Samples
66,,,2017,Kaduna,,Ikara,,11.1788,8.2268,Maize,ARPV0004CM,,,NA,NA,NA,NA,1.9,Palm Valley Nigeria - Kaduna State
21,,,2016,Kaduna,Ikara,Ikara,Ungwa Gona,11.1788,8.2268,Maize,ARPV0004CM,,,NA,NA,NA,NA,1.9,AgResults Control Samples
67,,,2017,Kaduna,,Ikara,,11.1788,8.2268,Maize,ARPV0005CM,,,NA,NA,NA,NA,1,Palm Valley Nigeria - Kaduna State
22,,,2016,Kaduna,Ikara,Ikara,Ungwa Gona,11.1788,8.2268,Maize,ARPV0005CM,,,NA,NA,NA,NA,1,AgResults Control Samples
68,,,2017,Kaduna,,Ikara,,11.1788,8.2268,Maize,ARPV0006CM,,,NA,NA,NA,NA,0.9,Palm Valley Nigeria - Kaduna State
23,,,2016,Kaduna,Ikara,Ikara,Ungwa Gona,11.1788,8.2268,Maize,ARPV0006CM,,,NA,NA,NA,NA,0.9,AgResults Control Samples
69,,,2017,Kaduna,,Ikara,,11.1788,8.2268,Maize,ARPV0007CM,,,NA,NA,NA,NA,0.7,Palm Valley Nigeria - Kaduna State
24,,,2016,Kaduna,Ikara,Ikara,Fadama Kali,11.1788,8.2268,Maize,ARPV0007CM,,,NA,NA,NA,NA,0.7,AgResults Control Samples
70,,,2017,Kaduna,,Ikara,,11.1788,8.2268,Maize,ARPV0008CM,,,NA,NA,NA,NA,1.1,Palm Valley Nigeria - Kaduna State
25,,,2016,Kaduna,Ikara,Ikara,Fadama Kali,11.1788,8.2268,Maize,ARPV0008CM,,,NA,NA,NA,NA,1.1,AgResults Control Samples
71,,,2017,Kaduna,,Ikara,,11.1788,8.2268,Maize,ARPV0009CM,,,NA,NA,NA,NA,1,Palm Valley Nigeria - Kaduna State
26,,,2016,Kaduna,Ikara,Ikara,Fadama Kali,11.1788,8.2268,Maize,ARPV0009CM,,,NA,NA,NA,NA,1,AgResults Control Samples
37,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG001CM,,,NA,NA,NA,NA,1,Tukuyan Gwari - Kaduna State
27,,,2016,Kaduna,Giwa,Giwa,Tumburuku,11.2802,7.4179,Maize,ARTG001CM,,,NA,NA,NA,NA,1,AgResults Control Samples
38,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG002CM,,,NA,NA,NA,NA,0.9,Tukuyan Gwari - Kaduna State
28,,,2016,Kaduna,Giwa,Giwa,Tumburuku,11.2802,7.4179,Maize,ARTG002CM,,,NA,NA,NA,NA,0.9,AgResults Control Samples
39,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG003CM,,,NA,NA,NA,NA,0.7,Tukuyan Gwari - Kaduna State
29,,,2016,Kaduna,Giwa,Giwa,Tumburuku,11.2802,7.4179,Maize,ARTG003CM,,,NA,NA,NA,NA,0.7,AgResults Control Samples
40,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG004CM,,,NA,NA,NA,NA,0.8,Tukuyan Gwari - Kaduna State
30,,,2016,Kaduna,Giwa,Giwa,Tumburuku,11.2802,7.4179,Maize,ARTG004CM,,,NA,NA,NA,NA,0.8,AgResults Control Samples
41,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG005CM,,,NA,NA,NA,NA,72.9,Tukuyan Gwari - Kaduna State
31,,,2016,Kaduna,Giwa,Giwa,Sabon Layi,11.2802,7.4179,Maize,ARTG005CM,,,NA,NA,NA,NA,72.9,AgResults Control Samples
42,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG006CM,,,NA,NA,NA,NA,1.9,Tukuyan Gwari - Kaduna State
32,,,2016,Kaduna,Giwa,Giwa,Sabon Layi,11.2802,7.4179,Maize,ARTG006CM,,,NA,NA,NA,NA,1.9,AgResults Control Samples
43,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG007CM,,,NA,NA,NA,NA,0.9,Tukuyan Gwari - Kaduna State
33,,,2016,Kaduna,Giwa,Giwa,Sabon Layi,11.2802,7.4179,Maize,ARTG007CM,,,NA,NA,NA,NA,0.9,AgResults Control Samples
44,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG008CM,,,NA,NA,NA,NA,0.7,Tukuyan Gwari - Kaduna State
34,,,2016,Kaduna,Giwa,Giwa,Sabon Layi,11.2802,7.4179,Maize,ARTG008CM,,,NA,NA,NA,NA,0.7,AgResults Control Samples
45,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG009CM,,,NA,NA,NA,NA,0.2,Tukuyan Gwari - Kaduna State
35,,,2016,Kaduna,Giwa,Giwa,Kidandan,11.2802,7.4179,Maize,ARTG009CM,,,NA,NA,NA,NA,0.2,AgResults Control Samples
46,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG010CM,,,NA,NA,NA,NA,1.1,Tukuyan Gwari - Kaduna State
36,,,2016,Kaduna,Giwa,Giwa,Kidandan,11.2802,7.4179,Maize,ARTG010CM,,,NA,NA,NA,NA,1.1,AgResults Control Samples
47,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG011CM,,,NA,NA,NA,NA,1.4,Tukuyan Gwari - Kaduna State
37,,,2016,Kaduna,Giwa,Giwa,Kidandan,11.2802,7.4179,Maize,ARTG011CM,,,NA,NA,NA,NA,1.4,AgResults Control Samples
48,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG012CM,,,NA,NA,NA,NA,85.9,Tukuyan Gwari - Kaduna State
38,,,2016,Kaduna,Giwa,Giwa,Kidandan,11.2802,7.4179,Maize,ARTG012CM,,,NA,NA,NA,NA,85.9,AgResults Control Samples
49,,,2017,Kaduna,,Giwa,,11.2802,7.4179,Maize,ARTG013CM,,,NA,NA,NA,NA,1.5,Tukuyan Gwari - Kaduna State
