SN,Date ,AEZ1,Year,State,LGA,Location,Village,Lat,Long,Crop,Code,Type,Treatment,B1,B2,G1,G2,Total-Afl,Source
799,01-Mar-12,,2012,Delta,Sapele,,,5.8751,5.6931,Maize,DT1577M,,,0.86,0,4.17,1.9,6.93,NAFDAC Market Survey Sample 2012
800,01-Mar-12,,2012,Delta,Ika North East,,,6.2213,6.3013,Maize,DT1578M,,,1.32,0,0,0,1.32,NAFDAC Market Survey Sample 2012
801,01-Mar-12,,2012,Delta,Oshimili North,,,6.4077,6.6211,Maize,DT1579M,,,2.58,1.27,3.62,0,7.47,NAFDAC Market Survey Sample 2012
802,01-Mar-12,,2012,Delta,Oshimili North,,,6.4077,6.6211,Maize,DT1580M,,,0.8,0,0.85,2.4,4.05,NAFDAC Market Survey Sample 2012
803,01-Mar-12,,2012,Delta,Udu,,,5.4704,5.8354,Maize,DT1581M,,,6.01,0,1.56,0.72,8.29,NAFDAC Market Survey Sample 2012
804,01-Mar-12,,2012,Delta,Ughelli North,,,5.6558,6.1103,Maize,DT1582M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
805,01-Mar-12,,2012,Delta,Ika North East,,,6.2213,6.3013,Maize,DT1583M,,,1.26,2.08,0,0,3.34,NAFDAC Market Survey Sample 2012
806,01-Mar-12,,2012,Delta,Uvwie,,,5.565,5.7827,Maize,DT1584M,,,6.62,0,0,0,6.62,NAFDAC Market Survey Sample 2012
807,01-Mar-12,,2012,Delta,Ika North East,,,6.2213,6.3013,Maize,DT1585M,,,5.26,1.92,0.9,0.91,8.99,NAFDAC Market Survey Sample 2012
808,01-Mar-12,,2012,Delta,Aniocha South,,,6.1562,6.4503,Maize,DT1586M,,,7.68,7.21,1.4,0.65,16.94,NAFDAC Market Survey Sample 2012
809,01-Mar-12,,2012,Delta,Aniocha South,,,6.1562,6.4503,Maize,DT1587M,,,2.31,1.78,1.14,0.66,5.89,NAFDAC Market Survey Sample 2012
810,01-Mar-12,,2012,Delta,Isoko South,,,5.4043,6.1951,Maize,DT1588M,,,0.9,1.85,0,0,2.75,NAFDAC Market Survey Sample 2012
811,01-Mar-12,,2012,Delta,Ndokwa West,,,5.7368,6.3652,Maize,DT1589M,,,1.66,0,6.94,0,8.6,NAFDAC Market Survey Sample 2012
812,01-Mar-12,,2012,Delta,Warri South,,,5.6609,5.6037,Maize,DT1590M,,,7.96,0,0,0,7.96,NAFDAC Market Survey Sample 2012
813,01-Mar-12,,2012,Delta,Oshimili South,,,6.0698,6.6211,Maize,DT1591M,,,1.24,0,1.78,0.77,3.79,NAFDAC Market Survey Sample 2012
814,01-Mar-12,,2012,Delta,Ika North East,,,6.2213,6.3013,Maize,DT1592M,,,0.68,4.65,1.55,1.07,7.95,NAFDAC Market Survey Sample 2012
815,01-Mar-12,,2012,Delta,Warri South West,,,5.5787,5.4359,Maize,DT1593M,,,2.24,2.17,2.31,0.74,7.46,NAFDAC Market Survey Sample 2012
816,01-Mar-12,,2012,Delta,Ika North East,,,6.2213,6.3013,Maize,DT1594M,,,4,3.52,3.61,1.37,12.5,NAFDAC Market Survey Sample 2012
817,01-Mar-12,,2012,Delta,Aniocha South,,,6.1562,6.4503,Maize,DT1595M,,,4.3,1.2,0,0,5.5,NAFDAC Market Survey Sample 2012
818,01-Mar-12,,2012,Delta,Ethiope West,,,5.9323,5.751,Maize,DT1596M,,,11.93,1.48,0,0,13.41,NAFDAC Market Survey Sample 2012
819,01-Mar-12,,2012,Delta,Ethiope West,,,5.9323,5.751,Maize,DT1597M,,,1.31,0,0,0,1.31,NAFDAC Market Survey Sample 2012
